Planet            X [Au]                   Y [Au]                  Z [Au]                  VX [Au/day]              VY [Au/day]             VZ [Au/day]             Masses [kg]
Sun       -1.550668714070811E-04    7.251508601760199E-03   -7.249153759217997E-05    -7.588255259323373E-06    2.581757885123079E-06    1.896785143241260E-07      1.989E30
Mercury   -1.323576074722382E-01   -4.393943374970845E-01   -2.444144358818521E-02     2.132001880678644E-02    6.577165758485580E-03   -2.494021425555131E-03      3.301E23
Venus      7.017949470130491E-01    1.868015398559415E-01   -3.811606476131638E-02    -5.092371189164413E-03    1.950731984177975E-02    5.612049728809210E-04      4.867E24
Earth      9.288316216792494E-01    3.700430323295124E-01   -9.347662052231544E-05    -6.552655235398258E-03    1.596398956009724E-02    2.174928948934206E-08      6.046E24
Mars       1.379538601917311E+00   -1.325437333889371E-01   -3.685645588976112E-02     1.937540497538259E-03    1.512064705714172E-02    2.692472548390342E-04      6.417E23
Jupiter   -2.654026451511209E+00   -4.662434507934516E+00    7.870415132641727E-02     6.467578038745997E-03   -3.372494179925129E-03   -1.306562713319913E-04      1.899E27
Saturn     1.554363691388482E+00   -9.934353570886152E+00    1.108588234539836E-01     5.203963343693606E-03    8.449075001853300E-04   -2.219374756677820E-04      5.685E26
Uranus     1.717390727464745E+01    1.000087979555020E+01   -1.853466516417037E-01    -2.008021622594130E-03    3.215463402714590E-03    3.792115719897496E-05      8.682E25
Neptune    2.892108850523958E+01   -7.719487868679951E+00   -5.075470141237119E-01     7.890969541727210E-04    3.051933298050562E-03   -8.105514254538686E-05      1.024E26
Pluto      1.164691553312177E+01   -3.157470153370056E+01    9.700055185346803E-03     3.008777907042161E-03    4.142616176278808E-04   -9.250787331247763E-04      1.309E22
